field                                                                   type     sum            min                  max                                 min_length  max_length  mean                    stddev                median     mode                                           cardinality
mi wifi:cambiar nombre red                                              Integer  31             0                    1                                   1           1           0.00589353612167301     0.07654281386031976   0          0                                              2
mi wifi:cambio tipo seguridad                                           Integer  4              0                    1                                   1           1           0.0007604562737642582   0.027565884350405828  0          0                                              2
mi wifi:desactivar wifi                                                 Integer  32             0                    1                                   1           1           0.00608365019011405     0.07776014011354657   0          0                                              2
mi wifi:detalle de factura                                              Integer  1              0                    1                                   1           1           0.00019011406844106436  0.013786875102141365  0          0                                              2
mi wifi:ko                                                              Integer  4              0                    1                                   1           1           0.0007604562737642579   0.027565884350405877  0          0                                              2
mi wifi:llamadas                                                        Integer  1              0                    1                                   1           1           0.00019011406844106427  0.013786875102141365  0          0                                              2
mi wifi:mis productos                                                   Integer  21             0                    1                                   1           1           0.003992395437262382    0.06305914855066518   0          0                                              2
mi wifi:nacional                                                        Integer  2              0                    1                                   1           1           0.00038022813688212925  0.019495731928964668  0          0                                              2
mi wifi:ok                                                              Integer  6              0                    1                                   1           1           0.0011406844106463896   0.03375475151325655   0          0                                              2
mi wifi:pedidos en curso                                                Integer  5              0                    1                                   1           1           0.000950570342205323    0.03081666364533709   0          0                                              2
mi wifi:resumen                                                         Integer  1              0                    1                                   1           1           0.0001901140684410643   0.013786875102141365  0          0                                              2
mi wifi:upgrade                                                         Integer  1              0                    1                                   1           1           0.0001901140684410642   0.013786875102141365  0          0                                              2
mi wifi:upgrade perfil                                                  Integer  2              0                    1                                   1           1           0.0003802281368821284   0.019495731928964668  0          0                                              2
mis facturas:abonos                                                     Integer  802            0                    1                                   1           1           0.15247148288973417     0.35947730080651746   0          0                                              2
mis facturas:estado de mis pagos                                        Integer  1768           0                    1                                   1           1           0.33612167300380336     0.4723810897368004    0          0                                              2
mis facturas:facturas de dispositivos                                   Integer  1994           0                    1                                   1           1           0.37908745247148273     0.48515992811666186   0          0                                              2
mis facturas:mis facturas                                               Integer  4384           0                    1                                   1           1           0.8334600760456302      0.37256459531689956   1          1                                              2
mis facturas:opciones                                                   Integer  1786           0                    1                                   1           1           0.33954372623574103     0.47355441525730463   0          0                                              2
mis productos:consumo                                                   Integer  3245           0                    1                                   1           1           0.6169201520912552      0.486137509389018     1          1                                              2
mis productos:decodificadores                                           Integer  320            0                    1                                   1           1           0.06083650190114063     0.23903016951333375   0          0                                              2
mis productos:home                                                      Integer  5023           0                    1                                   1           1           0.9549429657794691      0.20742925996055123   1          1                                              2
mis productos:movil y sim                                               Integer  1706           0                    1                                   1           1           0.324334600760456       0.468125696271858     0          0                                              2
mis productos:nacional                                                  Integer  15             0                    1                                   1           1           0.0028517110266159757   0.05332521702568733   0          0                                              2
mis productos:opciones                                                  Integer  1335           0                    1                                   1           1           0.25380228136882216     0.4351858032390339    0          0                                              2
mis productos:pedidos en curso                                          Integer  5              0                    1                                   1           1           0.0009505703422053228   0.030816663645337104  0          0                                              2
mis productos:producto contratado                                       Integer  4414           0                    1                                   1           1           0.8391634980988595      0.367380077790489     1          1                                              2
mis productos:que tienes contratado                                     Integer  381            0                    1                                   1           1           0.07243346007604562     0.2592042706775052    0          0                                              2
mis productos:recarga y anticipo                                        Integer  20             0                    1                                   1           1           0.0038022813688213      0.06154530059406334   0          0                                              2
mis productos:saldo y consumo                                           Integer  99             0                    1                                   1           1           0.01882129277566536     0.13589353080230906   0          0                                              2
mis productos:tarifa                                                    Integer  3106           0                    1                                   1           1           0.5904942965779467      0.49174259759234107   1          1                                              2
mis productos:tarifas                                                   Integer  234            0                    1                                   1           1           0.044486692015209106    0.20617377682128502   0          0                                              2
mis productos:v by vodafone                                             Integer  1118           0                    1                                   1           1           0.21254752851711076     0.4091101033198494    0          0                                              2
mis productos:vodafone tv                                               Integer  3              0                    1                                   1           1           0.0005703422053231958   0.02387502701761865   0          0                                              2
pagar factura:que es                                                    Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
popup lego:no bloqueante                                                Integer  586            0                    1                                   1           1           0.11140684410646404     0.31463527963771276   0          0                                              2
primera factura:producto contratado                                     Integer  1              0                    1                                   1           1           0.00019011406844106414  0.013786875102141365  0          0                                              2
que necesitas:averias                                                   Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
que necesitas:compromiso de permanencia                                 Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
que necesitas:facturas                                                  Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
que necesitas:mis datos personales                                      Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
rebienvenida:mis productos                                              Integer  1              0                    1                                   1           1           0.00019011406844106525  0.013786875102141365  0          0                                              2
recuperar clave:escribe tu clave                                        Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
